"school_id","year","name","enrollment","low_income","income_label"
"400033",2015,"Chicago Intl Charter - Longwood",1266.0,1129.0,"Economically Disadvantaged"
"400026",2015,"Chicago Intl Charter - Loomis Primary",578.0,479.0,"Economically Disadvantaged"
"400034",2015,"Chicago Intl Charter - Northtown",860.0,705.0,"Economically Disadvantaged"
"400028",2015,"Chicago Intl Charter - Prairie",405.0,399.0,"Economically Disadvantaged"
"400032",2015,"Chicago Intl Charter - Ralph Ellison",479.0,447.0,"Economically Disadvantaged"
"400029",2015,"Chicago Intl Charter - Washington Park",432.0,423.0,"Economically Disadvantaged"
"400030",2015,"Chicago Intl Charter - West Belden",501.0,480.0,"Economically Disadvantaged"
"400031",2015,"Chicago Intl Charter - Wrightwood",731.0,608.0,"Economically Disadvantaged"
"400035",2015,"Chicago Math and Science Academy High School",606.0,564.0,"Economically Disadvantaged"
"609754",2015,"Chicago Military Academy High School",395.0,375.0,"Economically Disadvantaged"
"400091",2015,"Chicago Technology Academy High School",377.0,351.0,"Economically Disadvantaged"
"400036",2015,"Chicago Virtual Charter High School",682.0,497.0,"Economically Disadvantaged"
"609674",2015,"Chicago Vocational Career Academy High School",953.0,910.0,"Economically Disadvantaged"
"609899",2015,"Christian Ebinger Elementary School",711.0,137.0,"Economically Disadvantaged"
"609705",2015,"Christian Fenger Academy High School",333.0,325.0,"Economically Disadvantaged"
"400159",2015,"Christopher Charter House ES",167.0,151.0,"Economically Disadvantaged"
"609863",2015,"Christopher Columbus Elementary School",285.0,219.0,"Economically Disadvantaged"
"609790",2015,"Clara Barton Elementary School",531.0,477.0,"Economically Disadvantaged"
"610347",2015,"Claremont Academy Elementary School",503.0,501.0,"Economically Disadvantaged"
"610499",2015,"Collins Academy High School",419.0,413.0,"Economically Disadvantaged"
"610170",2015,"Columbia Explorers Elementary Academy",1098.0,1076.0,"Economically Disadvantaged"
"400038",2015,"Community Services West Academy",156.0,104.0,"Economically Disadvantaged"
"609748",2015,"Consuella B York Alternative High School",341.0,330.0,"Economically Disadvantaged"
"610004",2015,"Countee Cullen Elementary School",243.0,236.0,"Economically Disadvantaged"
"609781",2015,"Crispus Attucks Elementary School",132.0,131.0,"Economically Disadvantaged"
"609873",2015,"Crown Community Academy of Fine Arts Center ES",307.0,287.0,"Economically Disadvantaged"
"610063",2015,"Cyrus H McCormick Elementary School",825.0,811.0,"Economically Disadvantaged"
"609804",2015,"Daniel Boone Elementary School",818.0,762.0,"Economically Disadvantaged"
"610083",2015,"Daniel C Beard Elementary School",149.0,65.0,"Economically Disadvantaged"
"610380",2015,"Daniel Hale Williams Prep School of Medicine",290.0,278.0,"Economically Disadvantaged"
"609870",2015,"Daniel J Corkery Elementary School",597.0,579.0,"Economically Disadvantaged"
"609835",2015,"Daniel R Cameron Elementary School",855.0,851.0,"Economically Disadvantaged"
"610223",2015,"Daniel S Wentworth Elementary School",558.0,549.0,"Economically Disadvantaged"
"610221",2015,"Daniel Webster Elementary School",314.0,310.0,"Economically Disadvantaged"
"609704",2015,"David G Farragut Career Academy High School",987.0,978.0,"Economically Disadvantaged"
"610402",2015,"DeVry University Advantage Academy HS",196.0,149.0,"Economically Disadvantaged"
"609885",2015,"Dewey Elementary Academy of Fine Arts",365.0,364.0,"Economically Disadvantaged"
"609859",2015,"DeWitt Clinton Elementary School",1134.0,979.0,"Economically Disadvantaged"
"610564",2015,"Disney II Magnet High School",493.0,312.0,"Economically Disadvantaged"
"610515",2015,"Disney II Magnet School",420.0,138.0,"Economically Disadvantaged"
"610077",2015,"Donald Morrill Math & Science Elementary School",845.0,739.0,"Economically Disadvantaged"
"610198",2015,"Douglas Taylor Elementary School",529.0,522.0,"Economically Disadvantaged"
"609751",2015,"Dr  Martin Luther King  Jr  College Prep HS",739.0,596.0,"Economically Disadvantaged"
"610533",2015,"Dr Jorge Prieto Math and Science",1039.0,1009.0,"Economically Disadvantaged"
"610299",2015,"Dr. Martin L. King Jr Academy of Social Justice",237.0,237.0,"Economically Disadvantaged"
"610188",2015,"Dunne Technology Academy",246.0,233.0,"Economically Disadvantaged"
"610352",2015,"Durkin Park Elementary School",635.0,591.0,"Economically Disadvantaged"
"610254",2015,"Dvorak Technology Academy",472.0,470.0,"Economically Disadvantaged"
"609736",2015,"Dyett High School",13.0,13.0,"Economically Disadvantaged"
"610132",2015,"Edgar Allan Poe Elementary Classical School",200.0,87.0,"Economically Disadvantaged"
"609901",2015,"Edgebrook Elementary School",511.0,77.0,"Economically Disadvantaged"
"610523",2015,"Edison Park Elementary School",493.0,113.0,"Economically Disadvantaged"
"609819",2015,"Edmond Burke Elementary School",442.0,427.0,"Economically Disadvantaged"
"609815",2015,"Edward A Bouchet Math & Science Academy ES",666.0,664.0,"Economically Disadvantaged"
