school_id,level,subject,tested,proficiency
610290,ES,reading,176,8
610291,ES,reading,426,28.2
610293,ES,reading,180,9.4
610295,ES,reading,159,18.2
610298,ES,reading,175,82.3
610299,ES,reading,164,8.5
610300,ES,reading,218,12.4
610305,ES,reading,162,8.6
610312,ES,reading,64,31.3
610313,ES,reading,308,11
610315,ES,reading,67,26.9
610316,ES,reading,141,56
610317,ES,reading,179,34.6
610319,ES,reading,204,34.8
610325,ES,reading,323,30.7
610329,ES,reading,159,46.5
610339,ES,reading,218,7.8
610342,ES,reading,202,12.9
610345,ES,reading,201,12.9
610347,ES,reading,174,16.1
610350,ES,reading,238,55.9
610352,ES,reading,395,27.8
610353,ES,reading,403,14.6
610354,ES,reading,166,14.5
610355,ES,reading,136,14
610362,ES,reading,117,23.9
610363,ES,reading,819,45.9
610364,ES,reading,113,18.6
610366,ES,reading,136,22.1
610367,ES,reading,223,13.9
610368,ES,reading,223,9.4
610369,ES,reading,159,12.6
610391,ES,reading,227,47.1
610396,ES,reading,612,26.6
610405,ES,reading,224,25.4
610503,ES,reading,95,27.4
610515,ES,reading,227,52
610520,ES,reading,331,62.5
610521,ES,reading,77,20.8
610523,ES,reading,270,49.3
610530,ES,reading,107,18.7
610532,ES,reading,766,18.7
610533,ES,reading,518,25.1
610534,ES,reading,338,93.5
610539,ES,reading,461,21.7
610541,ES,reading,387,32.3
610542,ES,reading,412,31.1
610544,ES,reading,496,43.3
610548,ES,reading,224,62.1
610559,ES,reading,374,17.9
610564,ES,reading,160,42.5
610586,ES,reading,370,10.5
610588,ES,reading,855,25
610589,ES,reading,290,63.4
610590,ES,reading,256,87.9
400009,ES,math,306,5.6
400011,ES,math,209,15.3
400017,ES,math,99,5.1
400021,ES,math,341,12
400023,ES,math,269,38.3
400024,ES,math,313,16.9
400025,ES,math,377,13.8
400027,ES,math,330,22.4
400028,ES,math,251,5.2
400029,ES,math,299,12
400030,ES,math,358,14.2
400031,ES,math,423,6.1
400033,ES,math,711,2.5
400035,ES,math,199,15.1
400039,ES,math,264,2.3
400044,ES,math,569,2.8
400046,ES,math,287,19.9
400047,ES,math,166,21.1
400048,ES,math,215,22.3
400049,ES,math,293,5.5
400050,ES,math,272,8.8
400052,ES,math,262,11.8
400060,ES,math,214,10.3
400061,ES,math,157,3.2
400064,ES,math,51,3.9
400066,ES,math,35,2.9
400068,ES,math,117,0
400069,ES,math,166,1.2
400071,ES,math,285,13
400075,ES,math,240,17.5
400076,ES,math,149,18.1
400077,ES,math,253,4.7
400079,ES,math,367,10.4
400080,ES,math,389,9.5
400081,ES,math,161,4.3
400082,ES,math,284,11.3
400083,ES,math,99,13.1
400084,ES,math,177,18.6
400089,ES,math,345,8.1
400092,ES,math,139,6.5
400096,ES,math,504,5.8
400101,ES,math,264,3
400107,ES,math,243,16.5
400111,ES,math,268,10.4
400112,ES,math,358,7.3
400114,ES,math,165,10.9
400115,ES,math,355,11.5
400116,ES,math,211,5.2
400120,ES,math,337,8.3
400121,ES,math,246,4.5
400146,ES,math,435,6
400151,ES,math,75,10.7
400153,ES,math,323,7.4
400159,ES,math,287,9.8
400161,ES,math,84,6
400162,ES,math,273,10.6
400163,ES,math,564,9.2
400165,ES,math,179,10.1
400167,ES,math,362,11.3
400168,ES,math,350,20.6
400178,ES,math,492,5.5
400180,ES,math,621,12.4
400181,ES,math,49,2
609716,ES,math,120,0.8
609720,ES,math,197,95.9
609725,ES,math,55,9.1
609726,ES,math,121,47.9
609734,ES,math,160,71.3
609746,ES,math,276,49.6
609755,ES,math,272,96.7
609772,ES,math,322,16.8
609773,ES,math,195,25.6
609774,ES,math,304,58.6
609777,ES,math,149,16.8
609779,ES,math,811,28.9
609780,ES,math,132,3.8
609782,ES,math,275,64
609783,ES,math,15,0
609786,ES,math,132,6.1
609788,ES,math,160,8.1
609789,ES,math,248,7.3
609790,ES,math,229,2.2
609791,ES,math,173,3.5
609792,ES,math,554,16.2
609793,ES,math,270,2.6
609794,ES,math,179,92.7
609795,ES,math,91,8.8
609796,ES,math,644,41.1
609797,ES,math,164,7.3
609798,ES,math,334,37.7
609799,ES,math,549,63.6
609800,ES,math,162,2.5
609803,ES,math,356,66.6
609804,ES,math,459,18.5
609805,ES,math,186,11.3
609806,ES,math,251,2
609807,ES,math,258,1.9
609808,ES,math,248,8.9
609809,ES,math,416,23.6
609810,ES,math,655,24
609811,ES,math,113,0
609812,ES,math,142,7.7
609813,ES,math,65,13.8
609815,ES,math,320,7.8
609817,ES,math,385,28.3
609818,ES,math,442,7.2
609819,ES,math,149,1.3
609820,ES,math,316,63.3
609821,ES,math,260,4.6
609827,ES,math,167,13.8
609828,ES,math,310,40.6
609829,ES,math,216,19.4
609830,ES,math,212,2.8
609832,ES,math,409,15.9
609833,ES,math,130,6.2
609834,ES,math,418,5.3
609835,ES,math,433,2.8
609836,ES,math,503,35.6
609837,ES,math,283,20.1
609839,ES,math,232,9.1
609842,ES,math,518,15.1
609844,ES,math,165,4.2
609845,ES,math,281,3.2
609848,ES,math,148,1.4
609849,ES,math,237,37.6
609850,ES,math,236,18.2
609851,ES,math,143,3.5
609852,ES,math,323,36.8
609853,ES,math,181,12.2
609854,ES,math,177,2.8
609855,ES,math,140,5.7
609856,ES,math,361,12.5
609857,ES,math,249,8.4
609859,ES,math,676,18.5
609861,ES,math,242,8.7
609862,ES,math,149,6
609863,ES,math,186,16.7
609864,ES,math,178,2.8
609865,ES,math,281,6.8
609866,ES,math,530,59.6
609867,ES,math,301,8.3
609869,ES,math,116,4.3
609870,ES,math,262,5
609872,ES,math,193,6.2
609873,ES,math,84,1.2
609874,ES,math,688,35
609875,ES,math,273,11
609876,ES,math,297,3
609879,ES,math,575,15.1
609880,ES,math,218,89.9
609883,ES,math,285,2.8
609884,ES,math,445,16.9
609885,ES,math,149,13.4
609887,ES,math,358,14
609891,ES,math,137,1.5
609893,ES,math,420,23.6
609894,ES,math,190,2.1
609895,ES,math,120,18.3
609896,ES,math,164,32.3
609897,ES,math,157,1.9
609898,ES,math,680,6.3
609899,ES,math,468,43.2
609900,ES,math,221,3.2
609901,ES,math,281,47.3
609902,ES,math,197,2.5
609903,ES,math,748,6.7
609904,ES,math,274,2.9
609907,ES,math,189,10.1
609908,ES,math,153,7.2
609909,ES,math,32,34.4
609910,ES,math,483,17.6
609912,ES,math,283,28.6
609917,ES,math,166,13.9
609918,ES,math,143,1.4
609919,ES,math,212,2.8
609920,ES,math,265,5.3
609921,ES,math,145,6.2
609922,ES,math,238,8
609924,ES,math,179,2.2
609925,ES,math,117,3.4
609926,ES,math,266,28.2
609927,ES,math,148,4.7
609928,ES,math,209,6.2
609929,ES,math,204,6.9
609930,ES,math,227,4.8
609933,ES,math,151,1.3
609935,ES,math,397,12.8
609937,ES,math,504,29.6
609938,ES,math,679,9.3
609939,ES,math,187,2.7
609941,ES,math,197,6.6
609942,ES,math,430,20.9
609943,ES,math,197,3
609944,ES,math,193,18.1
609945,ES,math,353,23.2
609947,ES,math,215,1.9
609949,ES,math,657,18.4
609951,ES,math,196,5.6
609952,ES,math,139,16.5
609954,ES,math,158,11.4
609955,ES,math,206,3.9
609956,ES,math,249,20.5
609958,ES,math,428,15.4
609959,ES,math,339,58.7
609960,ES,math,551,19.1
609961,ES,math,181,4.4
609963,ES,math,300,56.7
609964,ES,math,335,3.9
609966,ES,math,166,4.2
609967,ES,math,148,10.8
609968,ES,math,354,5.6
609969,ES,math,192,9.9
609971,ES,math,197,2.5
609972,ES,math,588,7
609973,ES,math,344,13.4
609974,ES,math,411,86.9
609975,ES,math,161,6.2
609976,ES,math,515,15.5
609977,ES,math,86,8.1
609978,ES,math,209,4.8
609979,ES,math,882,56.5
609981,ES,math,126,9.5
609983,ES,math,306,5.2
609985,ES,math,121,1.7
609986,ES,math,140,2.9
609987,ES,math,97,4.1
609988,ES,math,287,9.8
609990,ES,math,483,49.9
609991,ES,math,209,1.4
609993,ES,math,212,4.2
609994,ES,math,483,8.9
609995,ES,math,344,22.4
609996,ES,math,255,28.2
609997,ES,math,93,0
610000,ES,math,210,8.1
610002,ES,math,148,16.9
610003,ES,math,130,4.6
610004,ES,math,116,10.3
610005,ES,math,97,9.3
610006,ES,math,486,15.4
610009,ES,math,338,33.4
610010,ES,math,113,14.2
610011,ES,math,550,26
610013,ES,math,163,4.3
610015,ES,math,145,17.9
610016,ES,math,188,34
610017,ES,math,535,7.9
610019,ES,math,105,8.6
610021,ES,math,207,30.4
610022,ES,math,483,9.5
610024,ES,math,513,17.9
610026,ES,math,439,33.9
610027,ES,math,140,16.4
610029,ES,math,125,0.8
