StateAssignedSchID,Subject,GradeLevel,StudentSubGroup_TotalTested,ProficientOrAbove_percent
030110140242001,math,G05,21,0
030250100262002,ela,G03,48,.146
030250100262002,ela,G04,45,.454
030250100262002,ela,G05,43,.744
030250100262002,ela,G06,56,.732
030250100262002,ela,G07,38,.553
030250100262002,ela,G08,49,.694
030250100262002,math,G03,48,.438
030250100262002,math,G04,45,.273
030250100262002,math,G05,43,.349
030250100262002,math,G06,56,.286
030250100262002,math,G07,38,.211
030250100262002,math,G08,49,.245
030250200260001,ela,G06,22,.727
030250200260001,ela,G07,22,.182
030250200260001,ela,G08,30,.366
030250200260001,math,G06,22,.273
030250200260001,math,G07,22,.091
030250200260001,math,G08,30,.267
030250200262003,ela,G03,25,.4
030250200262003,ela,G04,27,.481
030250200262003,ela,G05,29,.482
030250200262003,math,G03,25,.72
030250200262003,math,G04,27,.333
030250200262003,math,G05,29,.379
030250300260001,ela,G07,37,.459
030250300260001,ela,G08,63,.541
030250300260001,math,G07,37,.378
030250300260001,math,G08,63,.148
030250300262002,ela,G03,44,.318
030250300262002,ela,G04,42,.714
030250300262002,ela,G05,40,.75
030250300262002,ela,G06,42,.714
030250300262002,math,G03,44,.273
030250300262002,math,G04,42,.666
030250300262002,math,G05,40,.55
030250300262002,math,G06,42,.5
030250400261001,ela,G06,148,.35
030250400261001,ela,G07,156,.308
030250400261001,ela,G08,168,.448
030250400261001,math,G06,149,.194
030250400261001,math,G07,156,.282
030250400261001,math,G08,168,.309
030250400262002,ela,G03,156,.346
030250400262002,ela,G04,166,.297
030250400262002,ela,G05,140,.566
030250400262002,math,G03,156,.366
030250400262002,math,G04,166,.228
030250400262002,math,G05,140,.184
030250500261001,ela,G07,93,.785
030250500261001,ela,G08,82,.878
030250500261001,math,G07,92,.522
030250500261001,math,G08,82,.549
030250500262002,ela,G03,73,.809
030250500262002,ela,G04,78,.539
030250500262002,ela,G05,85,.741
030250500262002,ela,G06,72,.638
030250500262002,math,G03,73,.685
030250500262002,math,G04,78,.628
030250500262002,math,G05,85,.706
030250500262002,math,G06,72,.528
030262010261001,ela,G07,29,.517
030262010261001,ela,G08,29,.655
030262010261001,math,G07,29,.138
030262010261001,math,G08,29,.207
030262010262001,ela,G03,34,.176
030262010262001,ela,G04,39,.359
030262010262001,ela,G05,22,.227
