"school_id","year","level","assessment","subject","tested","proficiency"
"609893",2024,"ES","IAR/PARCC","reading",421,34.2
"609894",2024,"ES","IAR/PARCC","reading",191,18.3
"609895",2024,"ES","IAR/PARCC","reading",120,30.8
"609896",2024,"ES","IAR/PARCC","reading",162,43.2
"609897",2024,"ES","IAR/PARCC","reading",160,10.6
"609898",2024,"ES","IAR/PARCC","reading",680,13.7
"609899",2024,"ES","IAR/PARCC","reading",468,61.8
"609900",2024,"ES","IAR/PARCC","reading",223,2.7
"609901",2024,"ES","IAR/PARCC","reading",281,62.6
"609902",2024,"ES","IAR/PARCC","reading",197,12.7
"609903",2024,"ES","IAR/PARCC","reading",748,20.2
"609904",2024,"ES","IAR/PARCC","reading",275,10.2
"609907",2024,"ES","IAR/PARCC","reading",190,28.4
"609908",2024,"ES","IAR/PARCC","reading",153,22.9
"609909",2024,"ES","IAR/PARCC","reading",32,65.6
"609910",2024,"ES","IAR/PARCC","reading",484,25.6
"609912",2024,"ES","IAR/PARCC","reading",283,30.4
"609917",2024,"ES","IAR/PARCC","reading",166,33.7
"609918",2024,"ES","IAR/PARCC","reading",140,12.1
"609919",2024,"ES","IAR/PARCC","reading",214,15.4
"609920",2024,"ES","IAR/PARCC","reading",266,12
"609921",2024,"ES","IAR/PARCC","reading",147,18.4
"609922",2024,"ES","IAR/PARCC","reading",238,14.7
"609924",2024,"ES","IAR/PARCC","reading",181,18.2
"609925",2024,"ES","IAR/PARCC","reading",117,10.3
"609926",2024,"ES","IAR/PARCC","reading",266,54.5
"609927",2024,"ES","IAR/PARCC","reading",149,18.8
"609928",2024,"ES","IAR/PARCC","reading",213,24.9
"609929",2024,"ES","IAR/PARCC","reading",206,13.6
"609930",2024,"ES","IAR/PARCC","reading",228,18.9
"609933",2024,"ES","IAR/PARCC","reading",158,9.5
"609935",2024,"ES","IAR/PARCC","reading",397,24.9
"609937",2024,"ES","IAR/PARCC","reading",504,40.1
"609938",2024,"ES","IAR/PARCC","reading",681,26
"609939",2024,"ES","IAR/PARCC","reading",187,14.4
"609941",2024,"ES","IAR/PARCC","reading",197,15.7
"609942",2024,"ES","IAR/PARCC","reading",429,37.1
"609943",2024,"ES","IAR/PARCC","reading",197,29.9
"609944",2024,"ES","IAR/PARCC","reading",194,56.2
"609945",2024,"ES","IAR/PARCC","reading",350,29.4
"609947",2024,"ES","IAR/PARCC","reading",216,9.3
"609949",2024,"ES","IAR/PARCC","reading",656,29.3
"609951",2024,"ES","IAR/PARCC","reading",196,15.8
"609952",2024,"ES","IAR/PARCC","reading",140,28.6
"609954",2024,"ES","IAR/PARCC","reading",160,23.8
"609955",2024,"ES","IAR/PARCC","reading",207,21.3
"609956",2024,"ES","IAR/PARCC","reading",249,32.5
"609958",2024,"ES","IAR/PARCC","reading",428,20.6
"609959",2024,"ES","IAR/PARCC","reading",339,52.5
"609960",2024,"ES","IAR/PARCC","reading",551,32.3
"609961",2024,"ES","IAR/PARCC","reading",184,14.7
"609963",2024,"ES","IAR/PARCC","reading",297,65.7
"609964",2024,"ES","IAR/PARCC","reading",335,5.4
"609966",2024,"ES","IAR/PARCC","reading",165,11.5
"609967",2024,"ES","IAR/PARCC","reading",147,19
"609968",2024,"ES","IAR/PARCC","reading",359,16.4
"609969",2024,"ES","IAR/PARCC","reading",192,30.2
